shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_manual-1770916792369,19.4482368,-99.1519586,1
shape_manual-1770916792369,19.4523191,-99.1512764,2
shape_manual-1770916792369,19.4549074,-99.1521092,3
shape_manual-1770916792369,19.455847511109376,-99.15245825655772,4
shape_manual-1770916792369,19.45728439515954,-99.15342409540908,5
shape_manual-1770916792369,19.46562211892052,-99.15977716874251,6
shape_manual-1770916792369,19.4676281,-99.1613283,7
shape_manual-1770916792369,19.4694682,-99.1622009,8
shape_manual-1770916792369,19.472785742945366,-99.16364052414795,9
shape_manual-1770916792369,19.4851553,-99.1684515,10
shape_manual-1770916792369,19.4909916,-99.1707288,11
shape_manual-1770916792369,19.493576643891224,-99.17174938588963,12
shape_manual-1770916792369,19.49918104476099,-99.17385266000771,13
shape_manual-1770916792369,19.50130426525392,-99.17472666225677,14
shape_manual-1770916792369,19.504153,-99.1759644,15
shape_manual-1770916792369,19.50553277070874,-99.17641403969373,16
shape_manual-1770916792369,19.506801283675266,-99.17678399371309,17
shape_manual-1770916792369,19.508950312380165,-99.17735266397861,18
shape_manual-1770916792369,19.51086117820732,-99.17780584903278,19
shape_manual-1770916792369,19.5143923,-99.1782492,20
shape_manual-1770916792369,19.5178446,-99.1786023,21
shape_manual-1770916792369,19.521126432565353,-99.17865354888451,22
shape_manual-1770916792369,19.523491538946857,-99.17908266984608,23
shape_manual-1770916792369,19.52503908360426,-99.17957632081455,24
shape_manual-1770916792369,19.5263672,-99.1801142,25
shape_manual-1770916792369,19.52987269286301,-99.18174346449656,26
shape_manual-1770916792369,19.532632452522762,-99.1829449019572,27
shape_manual-1770916792369,19.536282899842302,-99.18392133160121,28
shape_manual-1770916792369,19.53896183193734,-99.1844469525392,29
shape_manual-1770916792369,19.5432517,-99.185605,30
shape_manual-1770916792369,19.54759697522023,-99.1866895012278,31
shape_manual-1770916792369,19.55350134725257,-99.1882023347805,32
shape_manual-1770916792369,19.554532853586032,-99.18859940186385,33
shape_manual-1770916792369,19.5553565,-99.1892251,34
shape_manual-1770916792369,19.5563124,-99.1901869,35
shape_manual-1770916792369,19.5576749,-99.1919279,36
shape_manual-1770916792369,19.56018579566953,-99.19393297863193,37
shape_manual-1770916792369,19.5614683165675,-99.19456426795061,38
shape_manual-1770916792369,19.5629157,-99.1948411,39
shape_manual-1770916792369,19.57117232683364,-99.19666191645089,40
shape_manual-1770916792369,19.575630662011008,-99.19764360495034,41
shape_manual-1770916792369,19.5767736,-99.197653,42
shape_manual-1770916792369,19.5783202,-99.1972263,43
shape_manual-1770916792369,19.5799233,-99.1960274,44
shape_manual-1770916792369,19.580937066023296,-99.1948859205538,45
shape_manual-1770916792369,19.58407087910252,-99.19216052010789,46
shape_manual-1770916792369,19.586608291972336,-99.19034724937138,47
shape_manual-1770916792369,19.590136147262054,-99.18733215681821,48
shape_manual-1770916792369,19.5912169,-99.1865766,49
shape_manual-1770916792369,19.5921993,-99.1861074,50
shape_manual-1770916792369,19.5933604125173,-99.18577666776766,51
